date,username,product,sku,model,organization,repository,cost_center_name,quantity,applied_cost_per_quantity,gross_amount,discount_amount,net_amount,total_monthly_quota,aic_quantity,aic_gross_amount
2026-04-01T15:38:00Z,alan.turing,Copilot,Copilot Premium Request,Claude Sonnet 4,acme-corp,platform-api,Data Science,8.0,0.04,0.32,0.0,0.32,1000,0,0
2026-04-01T13:14:00Z,alan.turing,Copilot,Copilot Premium Request,GPT-4.1,acme-corp,billing-service,Platform,24.0,0.04,0.96,0.192,0.768,1000,0,0
2026-04-01T18:27:00Z,alan.turing,Copilot,Copilot Premium Request,Claude Opus 4.1,acme-corp,ml-models,Platform,20.0,0.04,0.8,0.0,0.8,1000,0,0
2026-04-01T08:05:00Z,ada.lovelace,Copilot,Copilot Premium Request,Claude Sonnet 4,acme-corp,docs-site,Engineering,26.0,0.04,1.04,0.0,1.04,1000,0,0
2026-04-01T11:51:00Z,ada.lovelace,Copilot,Copilot Premium Request,Auto: Claude Sonnet 4,acme-corp,platform-api,Mobile,13.0,0.04,0.52,0.104,0.416,1000,0,0
2026-04-01T15:18:00Z,ada.lovelace,Copilot,Copilot Premium Request,GPT-5-Codex,acme-corp,ml-models,Data Science,14.0,0.04,0.56,0.0,0.56,1000,0,0
2026-04-01T19:18:00Z,ada.lovelace,Copilot,Copilot Premium Request,GPT-4.1,acme-corp,web-frontend,Data Science,3.0,0.04,0.12,0.0,0.12,1000,0,0
2026-04-01T14:40:00Z,ada.lovelace,Copilot,Copilot Premium Request,GPT-5 mini,acme-corp,ml-models,Data Science,0.0,0.04,0.0,0.0,0.0,1000,0,0
2026-04-01T18:59:00Z,bjarne.stroustrup,Copilot,Copilot Premium Request,Auto: Claude Sonnet 4,acme-corp,web-frontend,Data Science,23.0,0.04,0.92,0.0,0.92,1000,0,0
2026-04-01T14:24:00Z,bjarne.stroustrup,Copilot,Copilot Premium Request,GPT-5-Codex,acme-corp,infra-terraform,Data Science,9.0,0.04,0.36,0.0,0.36,1000,0,0
2026-04-01T10:52:00Z,bjarne.stroustrup,Copilot,Copilot Premium Request,GPT-4.1,acme-corp,platform-api,Platform,28.0,0.04,1.12,0.0,1.12,1000,0,0
2026-04-01T16:56:00Z,bjarne.stroustrup,Copilot,Copilot Premium Request,Auto: Claude Sonnet 4,acme-corp,ml-models,Data Science,4.0,0.04,0.16,0.0,0.16,1000,0,0
2026-04-01T09:16:00Z,bjarne.stroustrup,Copilot,Copilot Premium Request,GPT-4.1,acme-corp,mobile-app,Data Science,14.0,0.04,0.56,0.056,0.504,1000,0,0
2026-04-01T18:37:00Z,bjarne.stroustrup,Copilot,Copilot Premium Request,GPT-4.1,acme-corp,docs-site,Mobile,19.0,0.04,0.76,0.0,0.76,1000,0,0
2026-04-01T14:05:00Z,bjarne.stroustrup,Copilot,Copilot Premium Request,Auto: Claude Sonnet 4,acme-corp,platform-api,Engineering,6.0,0.04,0.24,0.048,0.192,1000,0,0
2026-04-01T16:04:00Z,bjarne.stroustrup,Copilot,Copilot Premium Request,Claude Sonnet 4,acme-corp,docs-site,Mobile,7.0,0.04,0.28,0.028,0.252,1000,0,0
2026-04-01T17:46:00Z,margaret.hamilton,Copilot,Copilot Premium Request,GPT-5-Codex,acme-corp,web-frontend,Platform,19.0,0.04,0.76,0.0,0.76,1000,0,0
2026-04-01T11:27:00Z,margaret.hamilton,Copilot,Copilot Premium Request,Claude Opus 4.1,acme-corp,mobile-app,Mobile,120.0,0.04,4.8,0.0,4.8,1000,0,0
2026-04-01T15:48:00Z,margaret.hamilton,Copilot,Copilot Premium Request,Claude Sonnet 4,acme-corp,mobile-app,Engineering,25.0,0.04,1.0,0.0,1.0,1000,0,0
2026-04-01T16:12:00Z,margaret.hamilton,Copilot,Copilot Premium Request,GPT-5 mini,acme-corp,mobile-app,Platform,0.0,0.04,0.0,0.0,0.0,1000,0,0
2026-04-01T07:38:00Z,margaret.hamilton,Copilot,Copilot Premium Request,GPT-4.1,acme-corp,ml-models,Mobile,19.0,0.04,0.76,0.152,0.608,1000,0,0
2026-04-01T10:03:00Z,margaret.hamilton,Copilot,Copilot Premium Request,Claude Sonnet 4,acme-corp,data-pipeline,Engineering,13.0,0.04,0.52,0.0,0.52,1000,0,0
2026-04-01T19:34:00Z,margaret.hamilton,Copilot,Copilot Premium Request,Claude Sonnet 4,acme-corp,mobile-app,Data Science,17.0,0.04,0.68,0.0,0.68,1000,0,0
2026-04-01T11:33:00Z,margaret.hamilton,Copilot,Copilot Premium Request,GPT-4.1,acme-corp,docs-site,Data Science,19.0,0.04,0.76,0.0,0.76,1000,0,0
2026-04-01T18:19:00Z,margaret.hamilton,Copilot,Copilot Premium Request,Claude Haiku 3.5,acme-corp,docs-site,Platform,8.58,0.04,0.3432,0.0,0.3432,1000,0,0
2026-04-01T08:15:00Z,margaret.hamilton,Copilot,Copilot Premium Request,GPT-5-Codex,acme-corp,data-pipeline,Engineering,18.0,0.04,0.72,0.072,0.648,1000,0,0
2026-04-01T16:14:00Z,linus.torvalds,Copilot,Copilot Premium Request,Claude Sonnet 4,acme-corp,platform-api,Engineering,19.0,0.04,0.76,0.0,0.76,1000,0,0
2026-04-01T08:57:00Z,linus.torvalds,Copilot,Copilot Premium Request,GPT-4.1,acme-corp,platform-api,Platform,3.0,0.04,0.12,0.0,0.12,1000,0,0
2026-04-01T17:31:00Z,linus.torvalds,Copilot,Copilot Premium Request,Claude Sonnet 4,acme-corp,data-pipeline,Data Science,9.0,0.04,0.36,0.0,0.36,1000,0,0
2026-04-01T16:30:00Z,linus.torvalds,Copilot,Copilot Premium Request,GPT-4.1,acme-corp,data-pipeline,Mobile,30.0,0.04,1.2,0.24,0.96,1000,0,0
2026-04-01T08:42:00Z,linus.torvalds,Copilot,Copilot Premium Request,Claude Opus 4.1,acme-corp,docs-site,Platform,80.0,0.04,3.2,0.0,3.2,1000,0,0
2026-04-01T17:41:00Z,linus.torvalds,Copilot,Copilot Premium Request,GPT-5-Codex,acme-corp,web-frontend,Engineering,16.0,0.04,0.64,0.0,0.64,1000,0,0
2026-04-01T10:12:00Z,linus.torvalds,Copilot,Copilot Premium Request,Auto: Claude Sonnet 4,acme-corp,data-pipeline,Mobile,12.0,0.04,0.48,0.0,0.48,1000,0,0
2026-04-01T14:15:00Z,linus.torvalds,Copilot,Copilot Premium Request,Claude Sonnet 4,acme-corp,web-frontend,Mobile,7.0,0.04,0.28,0.0,0.28,1000,0,0
2026-04-01T08:59:00Z,guido.van-rossum,Copilot,Copilot Premium Request,Claude Sonnet 4,acme-corp,data-pipeline,Data Science,19.0,0.04,0.76,0.0,0.76,1000,0,0
2026-04-01T20:25:00Z,guido.van-rossum,Copilot,Copilot Premium Request,Auto: Claude Sonnet 4,acme-corp,platform-api,Data Science,17.0,0.04,0.68,0.0,0.68,1000,0,0
2026-04-01T19:50:00Z,guido.van-rossum,Copilot,Copilot Premium Request,Auto: Claude Sonnet 4,acme-corp,billing-service,Platform,14.0,0.04,0.56,0.0,0.56,1000,0,0
2026-04-01T17:45:00Z,guido.van-rossum,Copilot,Copilot Premium Request,GPT-5-Codex,acme-corp,billing-service,Data Science,25.0,0.04,1.0,0.2,0.8,1000,0,0
2026-04-01T18:34:00Z,grace.hopper,Copilot,Copilot Premium Request,Auto: Claude Sonnet 4,acme-corp,platform-api,Platform,3.0,0.04,0.12,0.024,0.096,1000,0,0
2026-04-01T15:58:00Z,grace.hopper,Copilot,Copilot Premium Request,Claude Sonnet 4,acme-corp,mobile-app,Engineering,20.0,0.04,0.8,0.08,0.72,1000,0,0
2026-04-01T08:38:00Z,grace.hopper,Copilot,Copilot Premium Request,Code Review,acme-corp,web-frontend,Data Science,4.0,0.04,0.16,0.0,0.16,1000,0,0
2026-04-01T10:37:00Z,grace.hopper,Copilot,Copilot Premium Request,Auto: Claude Sonnet 4,acme-corp,platform-api,Engineering,30.0,0.04,1.2,0.24,0.96,1000,0,0
2026-04-01T15:20:00Z,grace.hopper,Copilot,Copilot Premium Request,GPT-5-Codex,acme-corp,infra-terraform,Data Science,20.0,0.04,0.8,0.16,0.64,1000,0,0
2026-04-01T11:25:00Z,grace.hopper,Copilot,Copilot Premium Request,GPT-4.1,acme-corp,mobile-app,Platform,12.0,0.04,0.48,0.0,0.48,1000,0,0
2026-04-01T07:29:00Z,brian.kernighan,Copilot,Copilot Premium Request,Auto: Claude Sonnet 4,acme-corp,web-frontend,Engineering,26.0,0.04,1.04,0.0,1.04,1000,0,0
2026-04-01T09:59:00Z,brian.kernighan,Copilot,Copilot Premium Request,GPT-5-Codex,acme-corp,ml-models,Engineering,18.0,0.04,0.72,0.0,0.72,1000,0,0
2026-04-01T09:28:00Z,brian.kernighan,Copilot,Copilot Premium Request,GPT-5 mini,acme-corp,infra-terraform,Engineering,0.0,0.04,0.0,0.0,0.0,1000,0,0
2026-04-01T17:06:00Z,brian.kernighan,Copilot,Copilot Premium Request,GPT-4.1,acme-corp,mobile-app,Platform,19.0,0.04,0.76,0.0,0.76,1000,0,0
2026-04-01T09:17:00Z,brian.kernighan,Copilot,Copilot Premium Request,Claude Sonnet 4,acme-corp,infra-terraform,Data Science,5.0,0.04,0.2,0.04,0.16,1000,0,0
2026-04-01T15:31:00Z,brian.kernighan,Copilot,Copilot Premium Request,GPT-4.1,acme-corp,infra-terraform,Engineering,8.0,0.04,0.32,0.0,0.32,1000,0,0
2026-04-01T07:00:00Z,brian.kernighan,Copilot,Copilot Premium Request,Claude Sonnet 4,acme-corp,ml-models,Data Science,15.0,0.04,0.6,0.0,0.6,1000,0,0
2026-04-01T18:28:00Z,brian.kernighan,Copilot,Copilot Premium Request,Claude Sonnet 3.7,acme-corp,docs-site,Engineering,10.0,0.04,0.4,0.0,0.4,1000,0,0
2026-04-01T15:02:00Z,brian.kernighan,Copilot,Copilot Premium Request,Claude Sonnet 4,acme-corp,ml-models,Data Science,30.0,0.04,1.2,0.0,1.2,1000,0,0
2026-04-01T12:57:00Z,brian.kernighan,Copilot,Copilot Premium Request,GPT-5-Codex,acme-corp,platform-api,Platform,3.0,0.04,0.12,0.0,0.12,1000,0,0
2026-04-01T12:49:00Z,ken.thompson,Copilot,Copilot Premium Request,GPT-4.1,acme-corp,docs-site,Data Science,23.0,0.04,0.92,0.0,0.92,1000,0,0
2026-04-01T19:51:00Z,ken.thompson,Copilot,Copilot Premium Request,Claude Haiku 3.5,acme-corp,mobile-app,Mobile,2.97,0.04,0.1188,0.0,0.1188,1000,0,0
2026-04-01T19:59:00Z,ken.thompson,Copilot,Copilot Premium Request,Claude Sonnet 4,acme-corp,docs-site,Data Science,25.0,0.04,1.0,0.0,1.0,1000,0,0
2026-04-01T13:55:00Z,ken.thompson,Copilot,Copilot Premium Request,Claude Sonnet 4,acme-corp,platform-api,Mobile,27.0,0.04,1.08,0.0,1.08,1000,0,0
2026-04-01T12:19:00Z,ken.thompson,Copilot,Copilot Premium Request,Claude Sonnet 4,acme-corp,data-pipeline,Data Science,28.0,0.04,1.12,0.112,1.008,1000,0,0
2026-04-01T12:17:00Z,ken.thompson,Copilot,Copilot Premium Request,Claude Sonnet 4,acme-corp,web-frontend,Platform,8.0,0.04,0.32,0.032,0.288,1000,0,0
2026-04-01T12:01:00Z,dennis.ritchie,Copilot,Copilot Premium Request,Claude Sonnet 3.7,acme-corp,web-frontend,Platform,14.0,0.04,0.56,0.112,0.448,1000,0,0
2026-04-01T08:38:00Z,dennis.ritchie,Copilot,Copilot Premium Request,Claude Sonnet 4,acme-corp,docs-site,Platform,10.0,0.04,0.4,0.0,0.4,1000,0,0
